record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.HPBITABLO3.1,TOPLAM TL MEVDUAT (Bin TL),TP.HPBITABLO3.1,evds2,weekly,Bin TL,Resmi seri adi: TOPLAM TL MEVDUAT (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO3.2,A. Yurt İçi Yerleşikler (Bin TL),TP.HPBITABLO3.2,evds2,weekly,Bin TL,Resmi seri adi: A. Yurt İçi Yerleşikler (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO3.18,B. Yurt İçi Yerleşik Bankalar (Bin TL),TP.HPBITABLO3.18,evds2,weekly,Bin TL,Resmi seri adi: B. Yurt İçi Yerleşik Bankalar (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO3.21,C. Yurt Dışı Yerleşikler (Bin TL),TP.HPBITABLO3.21,evds2,weekly,Bin TL,Resmi seri adi: C. Yurt Dışı Yerleşikler (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO3.24,D. Yurt Dışı Yerleşik Bankalar (Bin TL),TP.HPBITABLO3.24,evds2,weekly,Bin TL,Resmi seri adi: D. Yurt Dışı Yerleşik Bankalar (Bin TL) | Durum: listed_only,Notebook rolu: dormant_candidate,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.1,TOPLAM YP MEVDUAT (Milyon ABD Doları),TP.HPBITABLO4.1,evds2,weekly,Milyon ABD Doları,Resmi seri adi: TOPLAM YP MEVDUAT (Milyon ABD Doları) | Durum: fetched_only,Notebook rolu: stock_total,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.2,A. Yurt İçi Yerleşikler (Milyon ABD Doları),TP.HPBITABLO4.2,evds2,weekly,Milyon ABD Doları,Resmi seri adi: A. Yurt İçi Yerleşikler (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,derived:dth-share-in-total-deposits|derived:dth-share-in-resident-deposits,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.3,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları),TP.HPBITABLO4.3,evds2,weekly,Milyon ABD Doları,Resmi seri adi: 1. Gerçek Kişiler (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.4,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / a. ABD Doları (Milyon ABD Doları),TP.HPBITABLO4.4,evds2,weekly,Milyon ABD Doları,Resmi seri adi: a. ABD Doları (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.5,A. Yurt İçi Yerleşikler (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / b. Euro - ABD Doları Karşılığı (Milyon ABD Doları),TP.HPBITABLO4.5,evds2,weekly,Milyon ABD Doları,Resmi seri adi: b. Euro - ABD Doları Karşılığı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
